NoB; FPS; CoC
100;60;30000
100;60;30000
100;60;30000
101;60;30603
101;60;30603
101;60;30603
102;60;31212
102;60;31212
102;60;31212
103;60;31827
103;60;31827
103;60;31827
104;60;32448
104;60;32448
104;60;32448
105;60;33075
105;60;33075
105;60;33075
106;60;33708
106;60;33708
106;60;33708
107;60;34347
107;60;34347
107;60;34347
108;60;34992
108;60;34992
108;60;34992
109;60;35643
109;60;35643
109;60;35643
110;60;36300
110;60;36300
110;60;36300
111;60;36963
111;60;36963
111;60;36963
112;60;37632
112;60;37632
112;60;37632
113;60;38307
113;60;38307
113;60;38307
114;60;38988
114;60;38988
114;60;38988
115;60;39675
115;60;39675
115;60;39675
116;60;40368
116;60;40368
116;60;40368
117;60;41067
117;60;41067
117;60;41067
118;60;41772
118;60;41772
118;60;41772
119;60;42483
119;60;42483
119;60;42483
120;60;43200
120;60;43200
120;60;43200
121;60;43923
121;60;43923
121;60;43923
122;60;44652
122;60;44652
122;60;44652
123;60;45387
123;60;45387
123;60;45387
124;60;46128
124;60;46128
124;60;46128
125;60;46875
125;60;46875
125;60;46875
126;60;47628
126;60;47628
126;60;47628
127;60;48387
127;60;48387
127;60;48387
128;60;49152
128;60;49152
128;60;49152
129;60;49923
129;60;49923
129;60;49923
130;60;50700
130;60;50700
130;60;50700
131;60;51483
131;60;51483
131;60;51483
132;60;52272
132;60;52272
132;60;52272
133;60;53067
133;60;53067
133;60;53067
134;60;53868
134;60;53868
134;60;53868
135;60;54675
135;60;54675
135;60;54675
136;60;55488
136;60;55488
136;60;55488
137;60;56307
137;60;56307
137;60;56307
138;60;57132
138;60;57132
138;60;57132
139;60;57963
139;60;57963
139;60;57963
140;60;58800
140;59;58800
140;59;58800
141;59;59643
141;59;59643
141;59;59643
142;59;60492
142;59;60492
142;59;60492
143;59;61347
143;59;61347
143;59;61347
144;59;62208
144;59;62208
144;59;62208
145;59;63075
145;59;63075
145;59;63075
146;59;63948
146;59;63948
146;59;63948
147;59;64827
147;59;64827
147;59;64827
148;59;65712
148;59;65712
148;59;65712
149;59;66603
149;59;66603
149;59;66603
150;59;67500
150;59;67500
150;59;67500
151;59;68403
151;59;68403
151;59;68403
152;59;69312
152;59;69312
152;59;69312
153;59;70227
153;59;70227
153;59;70227
154;59;71148
154;59;71148
154;59;71148
155;59;72075
155;59;72075
155;59;72075
156;59;73008
156;59;73008
156;59;73008
157;59;73947
157;59;73947
157;59;73947
158;59;74892
158;59;74892
158;59;74892
159;59;75843
159;59;75843
159;59;75843
160;59;76800
160;59;76800
160;59;76800
161;59;77763
161;59;77763
161;59;77763
162;59;78732
162;59;78732
162;59;78732
163;59;79707
163;59;79707
163;59;79707
164;59;80688
164;59;80688
164;59;80688
165;60;81675
165;60;81675
165;60;81675
166;60;82668
166;60;82668
166;60;82668
167;60;83667
167;60;83667
167;60;83667
168;60;84672
168;60;84672
168;60;84672
169;60;85683
169;60;85683
169;60;85683
170;60;86700
170;60;86700
170;60;86700
171;60;87723
171;60;87723
171;60;87723
172;60;88752
172;60;88752
172;60;88752
173;60;89787
173;60;89787
173;60;89787
174;60;90828
174;60;90828
174;60;90828
175;60;91875
175;60;91875
175;60;91875
176;60;92928
176;60;92928
176;60;92928
177;60;93987
177;60;93987
177;60;93987
178;60;95052
178;60;95052
178;60;95052
179;60;96123
179;60;96123
179;59;96123
180;59;97200
180;59;97200
180;59;97200
181;59;98283
181;59;98283
181;59;98283
182;59;99372
182;59;99372
182;58;99372
183;58;100467
183;58;100467
183;58;100467
184;58;101568
184;58;101568
184;58;101568
185;58;102675
185;58;102675
185;58;102675
186;58;103788
186;58;103788
186;58;103788
187;58;104907
187;58;104907
187;58;104907
188;58;106032
188;58;106032
188;58;106032
189;58;107163
189;58;107163
189;58;107163
190;58;108300
190;58;108300
190;58;108300
191;59;109443
191;59;109443
191;59;109443
192;59;110592
192;59;110592
192;59;110592
193;59;111747
193;59;111747
193;59;111747
194;60;112908
194;60;112908
194;60;112908
195;60;114075
195;60;114075
195;60;114075
196;60;115248
196;60;115248
196;60;115248
197;60;116427
197;60;116427
197;60;116427
198;60;117612
198;60;117612
198;60;117612
199;60;118803
199;60;118803
199;60;118803
200;60;120000
200;60;120000
200;60;120000
201;60;121203
201;60;121203
201;60;121203
202;60;122412
202;60;122412
202;60;122412
203;60;123627
203;60;123627
203;60;123627
204;60;124848
204;60;124848
204;60;124848
205;60;126075
205;60;126075
205;60;126075
206;60;127308
206;60;127308
206;60;127308
207;60;128547
207;60;128547
207;60;128547
208;60;129792
208;60;129792
208;60;129792
209;60;131043
209;60;131043
209;60;131043
210;60;132300
210;60;132300
210;60;132300
211;59;133563
211;58;133563
211;57;133563
212;57;134832
212;57;134832
212;57;134832
213;57;136107
213;57;136107
213;57;136107
214;57;137388
214;57;137388
214;57;137388
215;57;138675
215;57;138675
215;57;138675
216;57;139968
216;57;139968
216;57;139968
217;57;141267
217;57;141267
217;57;141267
218;57;142572
218;57;142572
218;57;142572
219;57;143883
219;57;143883
219;57;143883
220;57;145200
220;57;145200
220;57;145200
221;57;146523
221;57;146523
221;57;146523
222;57;147852
222;57;147852
222;58;147852
223;59;149187
223;59;149187
223;59;149187
224;59;150528
224;58;150528
224;58;150528
225;58;151875
225;58;151875
225;58;151875
226;58;153228
226;58;153228
226;58;153228
227;58;154587
227;58;154587
227;58;154587
228;58;155952
228;58;155952
228;58;155952
229;58;157323
229;58;157323
229;58;157323
230;58;158700
230;58;158700
230;58;158700
231;58;160083
231;58;160083
231;58;160083
232;58;161472
232;57;161472
232;57;161472
233;57;162867
233;57;162867
233;57;162867
234;57;164268
234;57;164268
234;58;164268
235;58;165675
235;58;165675
235;58;165675
236;58;167088
236;58;167088
236;58;167088
237;58;168507
237;58;168507
237;58;168507
238;58;169932
238;58;169932
238;58;169932
239;57;171363
239;57;171363
239;57;171363
240;57;172800
240;57;172800
240;57;172800
241;57;174243
241;57;174243
241;57;174243
242;57;175692
242;57;175692
242;56;175692
243;56;177147
243;56;177147
243;56;177147
244;56;178608
244;56;178608
244;55;178608
245;55;180075
245;55;180075
245;55;180075
246;55;181548
246;54;181548
246;54;181548
247;54;183027
247;54;183027
247;54;183027
248;54;184512
248;53;184512
248;53;184512
249;54;186003
249;54;186003
249;53;186003
250;53;187500
250;53;187500
250;53;187500
251;53;189003
251;53;189003
251;53;189003
252;53;190512
252;53;190512
252;53;190512
253;53;192027
253;53;192027
253;53;192027
254;53;193548
254;53;193548
254;53;193548
255;53;195075
255;53;195075
255;53;195075
256;53;196608
256;53;196608
256;53;196608
257;53;198147
257;53;198147
257;53;198147
258;54;199692
258;54;199692
258;54;199692
259;54;201243
259;54;201243
259;54;201243
260;54;202800
260;54;202800
260;55;202800
261;55;204363
261;55;204363
261;55;204363
262;56;205932
262;55;205932
262;54;205932
263;53;207507
263;53;207507
263;53;207507
264;53;209088
264;53;209088
264;53;209088
265;53;210675
265;53;210675
265;53;210675
266;52;212268
266;52;212268
266;52;212268
267;51;213867
267;51;213867
267;52;213867
268;52;215472
268;52;215472
268;52;215472
269;52;217083
269;52;217083
269;52;217083
270;51;218700
270;50;218700
270;49;218700
271;49;220323
271;49;220323
271;49;220323
272;48;221952
272;48;221952
272;47;221952
273;47;223587
273;48;223587
273;50;223587
274;50;225228
274;50;225228
274;50;225228
275;50;226875
275;50;226875
275;51;226875
276;51;228528
276;51;228528
276;51;228528
277;51;230187
277;52;230187
277;52;230187
278;52;231852
278;53;231852
278;53;231852
279;53;233523
279;51;233523
279;49;233523
280;48;235200
280;48;235200
280;48;235200
281;48;236883
281;49;236883
281;49;236883
282;49;238572
282;49;238572
282;49;238572
283;49;240267
283;49;240267
283;50;240267
284;50;241968
284;50;241968
284;49;241968
285;48;243675
285;47;243675
285;46;243675
286;46;245388
286;45;245388
286;45;245388
287;45;247107
287;45;247107
287;44;247107
288;43;248832
288;43;248832
288;43;248832
289;43;250563
289;43;250563
289;43;250563
290;45;252300
290;46;252300
290;47;252300
291;47;254043
291;46;254043
291;46;254043
292;47;255792
292;48;255792
292;48;255792
293;49;257547
293;49;257547
293;48;257547
294;48;259308
294;47;259308
294;47;259308
295;47;261075
295;48;261075
295;49;261075
296;51;262848
296;52;262848
296;52;262848
297;51;264627
297;50;264627
297;50;264627
298;51;266412
298;52;266412
298;51;266412
299;51;268203
299;50;268203
299;50;268203
300;50;270000
300;50;270000
300;50;270000
301;51;271803
301;51;271803
301;51;271803
302;51;273612
302;51;273612
302;51;273612
303;51;275427
303;51;275427
303;51;275427
304;51;277248
304;51;277248
304;52;277248
305;52;279075
305;53;279075
305;54;279075
306;54;280908
306;54;280908
306;54;280908
307;54;282747
307;54;282747
307;54;282747
308;54;284592
308;54;284592
308;55;284592
309;55;286443
309;56;286443
309;57;286443
310;57;288300
310;57;288300
310;58;288300
311;58;290163
311;58;290163
311;58;290163
312;57;292032
312;57;292032
312;57;292032
313;57;293907
313;56;293907
313;56;293907
314;55;295788
314;55;295788
314;55;295788
315;55;297675
315;55;297675
315;54;297675
316;54;299568
316;53;299568
316;52;299568
317;52;301467
317;52;301467
317;52;301467
318;52;303372
318;52;303372
318;51;303372
319;50;305283
319;49;305283
319;49;305283
320;49;307200
320;49;307200
320;49;307200
321;49;309123
321;49;309123
321;49;309123
322;50;311052
322;50;311052
322;51;311052
323;51;312987
323;51;312987
323;51;312987
324;51;314928
324;51;314928
324;52;314928
325;52;316875
325;53;316875
325;53;316875
326;53;318828
326;52;318828
326;52;318828
327;52;320787
327;52;320787
327;52;320787
328;53;322752
328;53;322752
328;53;322752
329;53;324723
329;53;324723
329;53;324723
330;53;326700
330;54;326700
330;56;326700
331;57;328683
331;57;328683
331;57;328683
332;57;330672
332;57;330672
332;57;330672
333;57;332667
333;57;332667
333;57;332667
334;57;334668
334;57;334668
334;57;334668
335;57;336675
335;57;336675
335;57;336675
336;57;338688
336;57;338688
336;57;338688
337;57;340707
337;57;340707
337;57;340707
338;57;342732
338;57;342732
338;57;342732
339;58;344763
339;59;344763
339;60;344763
340;60;346800
340;60;346800
340;60;346800
341;60;348843
341;60;348843
341;60;348843
342;59;350892
342;59;350892
342;59;350892
343;59;352947
343;59;352947
343;59;352947
344;59;355008
344;59;355008
344;59;355008
345;59;357075
345;59;357075
345;58;357075
346;58;359148
346;58;359148
346;58;359148
347;58;361227
347;58;361227
347;58;361227
348;57;363312
348;57;363312
348;57;363312
349;57;365403
349;57;365403
349;57;365403
350;56;367500
350;56;367500
350;56;367500
351;56;369603
351;56;369603
351;56;369603
352;56;371712
352;55;371712
352;55;371712
353;55;373827
353;55;373827
353;55;373827
354;55;375948
354;55;375948
354;54;375948
355;54;378075
355;54;378075
355;54;378075
356;54;380208
356;54;380208
356;54;380208
357;54;382347
357;54;382347
357;53;382347
358;53;384492
358;53;384492
358;53;384492
359;53;386643
359;53;386643
359;53;386643
360;53;388800
360;53;388800
360;53;388800
361;53;390963
361;52;390963
361;52;390963
362;52;393132
362;52;393132
362;52;393132
363;52;395307
363;52;395307
363;51;395307
364;51;397488
364;51;397488
364;51;397488
365;51;399675
365;51;399675
365;51;399675
366;50;401868
366;50;401868
366;50;401868
367;50;404067
367;50;404067
367;50;404067
368;49;406272
368;49;406272
368;49;406272
369;49;408483
369;49;408483
369;49;408483
370;49;410700
370;48;410700
370;48;410700
371;48;412923
371;48;412923
371;48;412923
372;48;415152
372;48;415152
372;48;415152
373;48;417387
373;47;417387
373;47;417387
374;47;419628
374;47;419628
374;47;419628
375;47;421875
375;47;421875
375;47;421875
376;47;424128
376;47;424128
376;47;424128
377;47;426387
377;47;426387
377;47;426387
378;47;428652
378;46;428652
378;46;428652
379;46;430923
379;46;430923
379;46;430923
380;46;433200
380;46;433200
380;45;433200
381;44;435483
381;43;435483
381;43;435483
382;43;437772
382;43;437772
382;42;437772
383;42;440067
383;42;440067
383;42;440067
384;41;442368
384;41;442368
384;40;442368
385;40;444675
385;40;444675
385;40;444675
386;40;446988
386;40;446988
386;40;446988
387;40;449307
387;40;449307
387;40;449307
388;40;451632
388;39;451632
388;39;451632
389;39;453963
389;39;453963
389;39;453963
390;39;456300
390;39;456300
390;39;456300
391;40;458643
391;41;458643
391;41;458643
392;41;460992
392;41;460992
392;41;460992
393;41;463347
393;41;463347
393;41;463347
394;41;465708
394;42;465708
394;43;465708
395;42;468075
395;42;468075
395;42;468075
396;42;470448
396;42;470448
396;42;470448
397;42;472827
397;42;472827
397;42;472827
398;42;475212
398;41;475212
398;41;475212
399;41;477603
399;41;477603
399;41;477603
400;41;480000
400;41;480000
400;41;480000
401;41;482403
401;41;482403
401;40;482403
402;40;484812
402;40;484812
402;40;484812
403;40;487227
403;40;487227
403;40;487227
404;40;489648
404;40;489648
404;40;489648
405;39;492075
405;38;492075
405;37;492075
406;37;494508
406;37;494508
406;37;494508
407;37;496947
407;37;496947
407;37;496947
408;37;499392
408;37;499392
408;37;499392
409;37;501843
409;37;501843
409;37;501843
410;37;504300
410;37;504300
410;37;504300
411;37;506763
411;37;506763
411;37;506763
412;37;509232
412;37;509232
412;37;509232
413;37;511707
413;37;511707
413;37;511707
414;37;514188
414;37;514188
414;36;514188
415;37;516675
415;38;516675
415;38;516675
416;38;519168
416;38;519168
416;38;5191
