NoB; FPS; CoC
175;55;22565
175;55;22615
175;55;22618
176;56;22777
176;56;22871
176;57;22928
177;57;23049
177;57;23107
177;57;23137
178;57;23294
178;57;23332
178;57;23352
179;57;23456
179;57;23527
179;57;23586
180;58;23734
180;58;23835
180;58;23912
181;58;24010
181;58;24039
181;58;24067
182;58;24186
182;58;24233
182;58;24294
183;58;24437
183;59;24509
183;59;24564
184;59;24679
184;59;24736
184;59;24767
185;59;24893
185;59;24921
185;59;24954
186;60;25083
186;60;25166
186;60;25224
187;60;25355
187;60;25405
187;60;25474
188;60;25633
188;60;25692
188;60;25752
189;60;25931
189;60;25977
189;60;26040
190;60;26196
190;60;26239
190;60;26278
191;59;26401
191;59;26457
191;59;26539
192;59;26706
192;59;26768
192;59;26849
193;59;26977
193;58;27017
193;58;27093
194;58;27267
194;57;27386
194;57;27477
195;57;27559
195;57;27574
195;57;27700
196;57;27886
196;57;27940
196;57;27967
197;57;28072
197;57;28132
197;57;28182
198;56;28354
198;56;28454
198;56;28547
199;56;28664
199;56;28727
199;56;28765
200;56;28945
200;56;28997
200;56;29050
201;56;29187
201;56;29262
201;56;29321
202;56;29474
202;57;29539
202;57;29607
203;57;29748
203;57;29844
203;57;29867
204;57;29997
204;57;30091
204;57;30218
205;57;30353
205;58;30423
205;58;30460
206;58;30562
206;59;30609
206;59;30648
207;59;30774
207;59;30800
207;59;30820
208;59;30998
208;59;31086
208;59;31163
209;60;31287
209;60;31325
209;60;31317
210;60;31405
210;58;31462
210;57;31533
211;56;31696
211;56;31782
211;56;31772
212;56;31808
212;56;31803
212;56;31852
213;56;31939
213;56;31969
213;56;32090
214;56;32264
214;55;32319
214;55;32442
215;55;32583
215;55;32607
215;55;32617
216;55;32745
216;55;32762
216;55;32749
217;55;32853
217;55;32894
217;55;32947
218;55;33085
218;55;33118
218;55;33171
219;55;33394
219;55;33519
219;55;33615
220;55;33806
220;56;33894
220;57;33960
221;58;34101
221;58;34104
221;58;34152
222;58;34285
222;57;34317
222;57;34368
223;56;34504
223;55;34550
223;55;34571
224;54;34683
224;54;34724
224;53;34701
225;53;34819
225;52;34906
225;52;34992
226;51;35181
226;51;35266
226;50;35316
227;49;35447
227;48;35503
227;48;35533
228;48;35693
228;48;35767
228;48;35823
229;48;35945
229;48;36000
229;48;35985
230;48;36062
230;47;36055
230;47;36065
231;47;36161
231;47;36219
231;47;36241
232;47;36399
232;48;36448
232;48;36529
233;48;36730
233;48;36834
233;48;36951
234;48;37109
234;49;37194
234;49;37267
235;50;37434
235;49;37534
235;48;37607
236;48;37774
236;49;37857
236;49;37976
237;50;38165
237;51;38227
237;52;38287
238;52;38415
238;51;38443
238;51;38460
239;51;38581
239;51;38652
239;51;38724
240;51;38899
240;52;39034
240;52;39147
241;51;39331
241;51;39526
241;51;39815
242;51;40175
242;51;40225
242;51;40159
243;52;40374
243;52;40580
243;52;39270
244;53;38485
244;53;38800
244;52;37809
245;52;36957
245;52;36057
245;52;35604
246;52;35203
246;55;34252
246;55;34001
247;55;33142
247;55;32547
247;55;32381
248;55;30881
248;55;30638
248;55;30494
249;55;30396
249;56;30243
249;56;30173
250;56;30237
250;56;30285
250;56;30317
251;56;30483
251;56;30527
251;57;30548
252;57;30748
252;57;30815
252;57;30823
253;57;30902
253;57;30975
253;57;31025
254;57;31244
254;57;31260
254;57;31235
255;57;31445
255;57;31573
255;57;31603
256;57;31609
256;58;31654
256;58;31677
257;58;31805
257;58;31844
257;58;31934
258;58;32195
258;57;32307
258;55;32296
259;54;32455
259;53;32423
259;53;32424
260;53;32505
260;53;32523
260;53;32570
261;53;32742
261;52;32767
261;52;32828
262;52;33048
262;52;33138
262;53;33074
263;52;33324
263;52;33402
263;52;33444
264;53;33542
264;51;33590
264;51;33617
265;51;33772
265;51;33791
265;50;33891
266;49;34100
266;48;34136
266;47;34241
267;46;34449
267;46;34517
267;46;34578
268;45;34797
268;45;34900
268;46;34995
269;47;35356
269;48;35435
269;49;35565
270;48;35861
270;48;36006
270;48;36112
271;49;36347
271;49;36439
271;49;36492
272;49;36726
272;49;36793
272;49;36908
273;49;37165
273;49;37266
273;49;37357
274;49;37626
274;49;37722
274;49;37810
275;49;38091
275;49;38195
275;50;38250
276;50;38544
276;50;38649
276;51;38763
277;52;39009
277;53;39104
277;54;39231
278;55;39526
278;55;39649
278;54;39773
279;54;40094
279;54;40170
279;54;40269
280;55;40598
280;55;40699
280;55;40792
281;55;41109
281;54;41209
281;54;41302
282;54;41606
